route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,trip_type
46,000033,1904,Wulkaprodersdorf Bahnhof,,,1662,,1
47,000000,1905,Wr.Neustadt Hbf,,,1663,,1
47,000033,1906,Bruck/Leitha Bahnhof,,,1664,,1
47,000033,1907,Wien Hbf,,,1665,,1
47,000000,1908,Bruck/Leitha Bahnhof,,,1666,,1
47,000000,1909,Wr.Neustadt Hbf,,,1667,,1
47,000033,1910,Bruck/Leitha Bahnhof,,,1668,,1
47,000033,1911,Wien Hbf,,,1669,,1
47,000000,1912,Bruck/Leitha Bahnhof,,,1670,,1
47,000000,1913,Wr.Neustadt Hbf,,,1671,,1
47,000033,1914,Bruck/Leitha Bahnhof,,,1672,,1
46,000004,1915,Wien Hbf,,,1673,,1
46,000033,1916,Wien Hbf,,,1674,,1
47,000033,1917,Wien Hbf,,,1675,,1
47,000000,1918,Bruck/Leitha Bahnhof,,,1676,,1
47,000000,1919,Wr.Neustadt Hbf,,,1677,,1
47,000033,1920,Bruck/Leitha Bahnhof,,,1678,,1
47,000033,1921,Wien Hbf,,,1679,,1
47,000000,1922,Bruck/Leitha Bahnhof,,,1680,,1
47,000000,1923,Wr.Neustadt Hbf,,,1681,,1
47,000000,1924,Bruck/Leitha Bahnhof,,,1682,,1
47,000033,1925,Wien Hbf,,,1683,,1
47,000000,1926,Bruck/Leitha Bahnhof,,,1684,,1
46,000000,1927,Wulkaprodersdorf Bahnhof,,,1685,,1
47,000000,1928,Wr.Neustadt Hbf,,,1686,,1
47,000000,1929,Bruck/Leitha Bahnhof,,,1687,,1
47,000000,1930,Wr.Neustadt Hbf,,,1688,,1
47,000000,1931,Bruck/Leitha Bahnhof,,,1689,,1
47,000000,1932,Wr.Neustadt Hbf,,,1690,,1
46,000000,1933,Wien Hbf,,,1691,,1
46,000033,1934,Wien Hbf,,,1691,,1
47,000000,1935,Bruck/Leitha Bahnhof,,,1692,,1
47,000000,1936,Wr.Neustadt Hbf,,,1693,,1
47,000000,1937,Bruck/Leitha Bahnhof,,,1694,,1
47,000000,1938,Wr.Neustadt Hbf,,,1695,,1
47,000000,1939,Wien Hbf,,,1696,,1
46,000033,1940,Wulkaprodersdorf Bahnhof,,,1697,,1
46,000004,1941,Wulkaprodersdorf Bahnhof,,,1698,,1
46,000000,1942,Wien Hbf,,,1699,,1
46,000000,1943,Wulkaprodersdorf Bahnhof,,,1700,,1
46,000000,1944,Wien Hbf,,,1701,,1
46,000033,1945,Wien Hbf,,,1701,,1
46,000004,1946,Wulkaprodersdorf Bahnhof,,,1702,,1
46,000033,1947,Wulkaprodersdorf Bahnhof,,,1703,,1
46,000000,1948,Wien Hbf,,,1704,,1
46,000000,1949,Wulkaprodersdorf Bahnhof,,,1705,,1
46,000000,1950,Wien Hbf,,,1706,,1
46,000033,1951,Wien Hbf,,,1706,,1
46,000004,1952,Wulkaprodersdorf Bahnhof,,,1707,,1
46,000033,1953,Wulkaprodersdorf Bahnhof,,,1708,,1
46,000000,1954,Wien Hbf,,,1709,,1
46,000000,1955,Wulkaprodersdorf Bahnhof,,,1710,,1
46,000000,1956,Wien Hbf,,,1711,,1
46,000000,1957,Wulkaprodersdorf Bahnhof,,,1712,,1
46,000000,1958,Wien Hbf,,,1713,,1
46,000000,1959,Wulkaprodersdorf Bahnhof,,,1714,,1
46,000000,1960,Wien Hbf,,,1715,,1
46,000000,1961,Wulkaprodersdorf Bahnhof,,,1716,,1
46,000000,1962,Wien Hbf,,,1717,,1
46,000000,1963,Wulkaprodersdorf Bahnhof,,,1718,,1
46,000000,1964,Wien Hbf,,,1719,,1
46,000000,1965,Wulkaprodersdorf Bahnhof,,,1720,,1
46,000000,1966,Bruck/Leitha Bahnhof,,,1721,,1
46,000033,1967,Bruck/Leitha Bahnhof,,,1721,,1
46,000033,1968,Wulkaprodersdorf Bahnhof,,,1722,,1
46,000004,1969,Wulkaprodersdorf Bahnhof,,,1723,,1
46,000000,1970,Wien Hbf,,,1724,,1
46,000000,1971,Wulkaprodersdorf Bahnhof,,,1725,,1
46,000000,1972,Bruck/Leitha Bahnhof,,,1726,,1
46,000033,1973,Bruck/Leitha Bahnhof,,,1726,,1
46,000004,1974,Wulkaprodersdorf Bahnhof,,,1727,,1
46,000033,1975,Wulkaprodersdorf Bahnhof,,,1728,,1
46,000000,1976,Wien Hbf,,,1729,,1
46,000000,1977,Wulkaprodersdorf Bahnhof,,,1730,,1
46,000000,1978,Bruck/Leitha Bahnhof,,,1731,,1
46,000033,1979,Bruck/Leitha Bahnhof,,,1731,,1
46,000004,1980,Wulkaprodersdorf Bahnhof,,,1732,,1
46,000033,1981,Wulkaprodersdorf Bahnhof,,,1733,,1
46,000000,1982,Wien Hbf,,,1734,,1
46,000000,1983,Wulkaprodersdorf Bahnhof,,,1735,,1
46,000000,1984,Bruck/Leitha Bahnhof,,,1736,,1
46,000033,1985,Bruck/Leitha Bahnhof,,,1736,,1
46,000033,1986,Wulkaprodersdorf Bahnhof,,,1737,,1
46,000004,1987,Wulkaprodersdorf Bahnhof,,,1738,,1
46,000000,1988,Wien Hbf,,,1739,,1
46,000000,1989,Wulkaprodersdorf Bahnhof,,,1740,,1
46,000000,1990,Bruck/Leitha Bahnhof,,,1741,,1
46,000033,1991,Bruck/Leitha Bahnhof,,,1741,,1
46,000033,1992,Wulkaprodersdorf Bahnhof,,,1742,,1
46,000004,1993,Wulkaprodersdorf Bahnhof,,,1743,,1
46,000000,1994,Wien Hbf,,,1744,,1
46,000000,1995,Wulkaprodersdorf Bahnhof,,,1745,,1
46,000004,1996,Wulkaprodersdorf Bahnhof,,,1746,,1
46,000033,1997,Wulkaprodersdorf Bahnhof,,,1747,,1
46,000000,1998,Wien Hbf,,,1748,,1
46,000000,1999,Wulkaprodersdorf Bahnhof,,,1749,,1
46,000000,2000,Wien Hbf,,,1750,,1
46,000000,2001,Wulkaprodersdorf Bahnhof,,,1751,,1
46,000000,2002,Wien Hbf,,,1752,,1
46,000000,2003,Wulkaprodersdorf Bahnhof,,,1753,,1
46,000004,2004,Wien Hbf,,,1754,,1
46,000033,2005,Wien Hbf,,,1755,,1
46,000000,2006,Wulkaprodersdorf Bahnhof,,,1756,,1
48,000033,2007,Wr.Neustadt Hbf,,,1757,,1
22,000000,2008,Wolfsthal Bahnhof,,,1758,,1
38,000000,2009,Wolfsthal Bahnhof,,,1758,,1
38,000068,2010,Wolfsthal Bahnhof,,,1758,,1
48,000033,2011,Friedberg in Stmk Bahnhof,,,1759,,1
48,000033,2012,Wr.Neustadt Hbf,,,1760,,1
38,000000,2013,Flughafen Wien Bahnhof,,,1761,,1
48,000033,2014,Aspang Markt Bahnhof,,,1762,,1
49,000033,2015,Wien Hbf,,,1763,,1
48,000033,2016,Wr.Neustadt Hbf,,,1764,,1
49,000033,2017,Wien Hbf,,,1765,,1
48,000000,2018,Wr.Neustadt Hbf,,,1766,,1
48,000000,2019,Aspang Markt Bahnhof,,,1767,,1
48,000033,2020,Wr.Neustadt Hbf,,,1768,,1
49,000035,2021,Wien Meidling Bahnhof,,,1769,,1
49,000033,2022,Wien Meidling Bahnhof,,,1769,,1
48,000000,2023,Aspang Markt Bahnhof,,,1770,,1
48,000000,2024,Wr.Neustadt Hbf,,,1771,,1
38,000000,2025,Flughafen Wien Bahnhof,,,1772,,1
49,000004,2026,Fehring Bahnhof,,,1773,,1
40,000033,2027,Wolfsthal Bahnhof,,,1774,,1
49,000033,2028,Wr.Neustadt Hbf,,,1775,,1
49,000101,2029,Wr.Neustadt Hbf,,,1776,,1
38,000000,2030,Flughafen Wien Bahnhof,,,1777,,1
48,000000,2031,Aspang Markt Bahnhof,,,1778,,1
40,000033,2032,Wolfsthal Bahnhof,,,1779,,1
48,000033,2033,Wr.Neustadt Hbf,,,1780,,1
38,000033,2034,Flughafen Wien Bahnhof,,,1781,,1
38,000004,2035,Wolfsthal Bahnhof,,,1782,,1
40,000033,2036,Wolfsthal Bahnhof,,,1783,,1
49,000000,2037,Wr.Neustadt Hbf,,,1784,,1
38,000004,2038,Flughafen Wien Bahnhof,,,1785,,1
22,000033,2039,Flughafen Wien Bahnhof,,,1786,,1
38,000033,2040,Flughafen Wien Bahnhof,,,1786,,1
48,000000,2041,Aspang Markt Bahnhof,,,1787,,1
48,000004,2042,Aspang Markt Bahnhof,,,1787,,1
40,000000,2043,Wolfsthal Bahnhof,,,1788,,1
40,000033,2044,Wolfsthal Bahnhof,,,1788,,1
48,000000,2045,Wr.Neustadt Hbf,,,1789,,1
22,000033,2046,Flughafen Wien Bahnhof,,,1790,,1
38,000033,2047,Flughafen Wien Bahnhof,,,1790,,1
38,000004,2048,Wolfsthal Bahnhof,,,1791,,1
40,000033,2049,Wolfsthal Bahnhof,,,1792,,1
49,000000,2050,Hartberg Bahnhof,,,1793,,1
38,000034,2051,Flughafen Wien Bahnhof,,,1794,,1
9,000035,2052,Flughafen Wien Bahnhof,,,1795,,1
38,000035,2053,Flughafen Wien Bahnhof,,,1795,,1
48,000000,2054,Aspang Markt Bahnhof,,,1796,,1
40,000033,2055,Fischamend Bahnhof,,,1797,,1
48,000000,2056,Wr.Neustadt Hbf,,,1798,,1
